ParkName,UnitCode,Region,State,Year,Month,MonthlyVisits,AnnualTotalVisits
Acadia NP,ACAD,Northeast ,ME,2024,1,"15,538","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,2,"14,071","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,3,"25,696","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,4,"95,165","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,5,"320,885","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,6,"599,015","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,7,"791,029","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,8,"795,332","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,9,"646,116","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,10,"567,466","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,11,"76,388","3,961,661"
Acadia NP,ACAD,Northeast ,ME,2024,12,"14,960","3,961,661"
Arches NP,ARCH,Intermountain ,UT,2024,1,"28,088","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,2,"51,510","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,3,"143,166","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,4,"156,720","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,5,"195,379","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,6,"180,563","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,7,"156,052","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,8,"143,726","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,9,"148,366","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,10,"135,716","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,11,"78,397","1,466,528"
Arches NP,ARCH,Intermountain ,UT,2024,12,"48,845","1,466,528"
Badlands NP,BADL,Midwest ,SD,2024,1,"8,549","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,2,"10,397","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,3,"25,776","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,4,"37,328","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,5,"109,385","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,6,"218,729","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,7,"234,886","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,8,"199,919","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,9,"139,875","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,10,"71,915","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,11,"22,887","1,094,245"
Badlands NP,BADL,Midwest ,SD,2024,12,"14,599","1,094,245"
Big Bend NP,BIBE,Intermountain ,TX,2024,1,"40,498","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,2,"48,302","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,3,"100,315","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,4,"77,541","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,5,"38,083","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,6,"20,004","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,7,"16,417","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,8,"15,741","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,9,"23,902","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,10,"49,181","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,11,"65,273","561,458"
Big Bend NP,BIBE,Intermountain ,TX,2024,12,"66,201","561,458"
